id,user,achievement,game_mode,timestamp
21,70e85b5e-92d4-498a-9079-ba881f5b3b82,Add1TestAchievement,1,2026-04-16 09:20:58.636937
22,960ad9f8-2b83-4526-9cfb-1a59cec049a6,Add1TestAchievement,0,2026-04-16 09:21:48.854515
23,0d271530-be17-4538-bf04-dde3c6069b5f,Add1TestAchievement,0,2026-04-16 09:21:54.247825
24,fb270a09-6a45-4eae-8f9a-3c808faec3ee,Add1TestAchievement,1,2026-04-16 09:22:15.837729
25,c27240eb-52c0-4436-aa0f-e7f97a94a725,Add1TestAchievement,1,2026-04-16 09:23:04.19305
26,84c2c4e6-1c27-4f2c-808b-9e84a7cb257e,Add1TestAchievement,0,2026-04-16 09:25:16.982095
27,7234f6dc-a316-4576-8453-6e10d7cf1c3d,Add1TestAchievement,0,2026-04-16 09:25:49.382166
28,0d271530-be17-4538-bf04-dde3c6069b5f,Add10TestsAchievement,0,2026-04-16 09:31:37.483053
29,11555248-3f01-4d1c-9a71-ef7caf9150fa,Add1TestAchievement,0,2026-04-16 09:33:12.311968
30,eda1acdb-c4bb-4425-a39f-4c25a998e739,Add1TestAchievement,0,2026-04-16 09:36:02.626919
31,bcec21aa-2246-4ee8-9f2a-3998a5cde697,Add1TestAchievement,1,2026-04-16 09:37:30.028608
32,7234f6dc-a316-4576-8453-6e10d7cf1c3d,Add10TestsAchievement,0,2026-04-16 09:38:53.616097
33,0d271530-be17-4538-bf04-dde3c6069b5f,Cover10LinesAchievement,0,2026-04-16 09:39:04.058832
35,0d271530-be17-4538-bf04-dde3c6069b5f,Cover33LinesAchievement,0,2026-04-16 09:40:21.931817
37,70e85b5e-92d4-498a-9079-ba881f5b3b82,Cover10LinesAchievement,1,2026-04-16 09:40:26.788686
44,84c2c4e6-1c27-4f2c-808b-9e84a7cb257e,Cover10LinesAchievement,0,2026-04-16 09:41:50.095604
50,0947a22a-ec40-4f49-867b-330a623a1a35,Add1TestAchievement,1,2026-04-16 09:45:26.080097
51,0947a22a-ec40-4f49-867b-330a623a1a35,Add20TestsAchievement,1,2026-04-16 09:45:26.095204
52,0947a22a-ec40-4f49-867b-330a623a1a35,Add10TestsAchievement,1,2026-04-16 09:45:26.118068
54,84c2c4e6-1c27-4f2c-808b-9e84a7cb257e,Add10TestsAchievement,0,2026-04-16 09:47:14.880084
57,eda1acdb-c4bb-4425-a39f-4c25a998e739,Add10TestsAchievement,0,2026-04-16 09:50:44.628956
58,7234f6dc-a316-4576-8453-6e10d7cf1c3d,Cover10LinesAchievement,0,2026-04-16 09:50:46.994334
60,70e85b5e-92d4-498a-9079-ba881f5b3b82,Cover33LinesAchievement,1,2026-04-16 09:52:10.447651
64,fb270a09-6a45-4eae-8f9a-3c808faec3ee,Cover10LinesAchievement,1,2026-04-16 09:55:06.13281
66,70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,Add1TestAchievement,0,2026-04-16 09:55:08.352799
70,7234f6dc-a316-4576-8453-6e10d7cf1c3d,Add20TestsAchievement,0,2026-04-16 09:57:22.229762
82,fb270a09-6a45-4eae-8f9a-3c808faec3ee,Add10TestsAchievement,1,2026-04-16 10:01:23.723245
86,0d271530-be17-4538-bf04-dde3c6069b5f,Add20TestsAchievement,0,2026-04-16 10:03:13.223392
93,84c2c4e6-1c27-4f2c-808b-9e84a7cb257e,Add20TestsAchievement,0,2026-04-16 10:05:53.617726
94,eda1acdb-c4bb-4425-a39f-4c25a998e739,Cover10LinesAchievement,0,2026-04-16 10:06:05.60097
98,eda1acdb-c4bb-4425-a39f-4c25a998e739,Cover33LinesAchievement,0,2026-04-16 10:09:06.846723
102,eda1acdb-c4bb-4425-a39f-4c25a998e739,Add20TestsAchievement,0,2026-04-16 10:12:27.553865
103,960ad9f8-2b83-4526-9cfb-1a59cec049a6,Add10TestsAchievement,0,2026-04-16 10:14:03.241991
106,7234f6dc-a316-4576-8453-6e10d7cf1c3d,Cover33LinesAchievement,0,2026-04-16 10:15:53.915205
111,bcec21aa-2246-4ee8-9f2a-3998a5cde697,Add10TestsAchievement,1,2026-04-16 10:17:53.855921
112,70e85b5e-92d4-498a-9079-ba881f5b3b82,Kill1MutantAchievement,1,2026-04-16 10:18:50.934515
113,70e85b5e-92d4-498a-9079-ba881f5b3b82,Kill5MutantsAchievement,1,2026-04-16 10:18:50.965631
114,70e85b5e-92d4-498a-9079-ba881f5b3b82,Kill10MutantsAchievement,1,2026-04-16 10:18:50.980767
115,70e85b5e-92d4-498a-9079-ba881f5b3b82,Kill25MutantsAchievement,1,2026-04-16 10:18:51.011906
120,c27240eb-52c0-4436-aa0f-e7f97a94a725,Kill1MutantAchievement,1,2026-04-16 10:20:34.426861
121,c27240eb-52c0-4436-aa0f-e7f97a94a725,Kill5MutantsAchievement,1,2026-04-16 10:20:34.43982
122,c27240eb-52c0-4436-aa0f-e7f97a94a725,Kill10MutantsAchievement,1,2026-04-16 10:20:34.439961
123,c27240eb-52c0-4436-aa0f-e7f97a94a725,Kill25MutantsAchievement,1,2026-04-16 10:20:34.480952
124,c27240eb-52c0-4436-aa0f-e7f97a94a725,CleanDragonAchievement,1,2026-04-16 10:20:39.015134
127,fb270a09-6a45-4eae-8f9a-3c808faec3ee,Kill1MutantAchievement,1,2026-04-16 10:20:56.868069
128,fb270a09-6a45-4eae-8f9a-3c808faec3ee,Kill5MutantsAchievement,1,2026-04-16 10:20:56.888604
129,fb270a09-6a45-4eae-8f9a-3c808faec3ee,Kill10MutantsAchievement,1,2026-04-16 10:20:56.901188
130,960ad9f8-2b83-4526-9cfb-1a59cec049a6,Kill1MutantAchievement,0,2026-04-16 10:22:55.004272
131,960ad9f8-2b83-4526-9cfb-1a59cec049a6,Kill5MutantsAchievement,0,2026-04-16 10:22:55.018163
132,960ad9f8-2b83-4526-9cfb-1a59cec049a6,Kill10MutantsAchievement,0,2026-04-16 10:22:55.040926
133,0947a22a-ec40-4f49-867b-330a623a1a35,Kill1MutantAchievement,1,2026-04-16 10:22:59.911864
134,0947a22a-ec40-4f49-867b-330a623a1a35,Kill5MutantsAchievement,1,2026-04-16 10:22:59.912048
135,0947a22a-ec40-4f49-867b-330a623a1a35,Kill10MutantsAchievement,1,2026-04-16 10:22:59.932036
136,0947a22a-ec40-4f49-867b-330a623a1a35,Kill25MutantsAchievement,1,2026-04-16 10:22:59.947849
137,0947a22a-ec40-4f49-867b-330a623a1a35,Kill66MutantsAchievement,1,2026-04-16 10:22:59.962244
138,7234f6dc-a316-4576-8453-6e10d7cf1c3d,Kill1MutantAchievement,0,2026-04-16 10:23:34.726004
139,7234f6dc-a316-4576-8453-6e10d7cf1c3d,Kill5MutantsAchievement,0,2026-04-16 10:23:34.738475
140,7234f6dc-a316-4576-8453-6e10d7cf1c3d,Kill10MutantsAchievement,0,2026-04-16 10:23:34.753138
141,7234f6dc-a316-4576-8453-6e10d7cf1c3d,Kill25MutantsAchievement,0,2026-04-16 10:23:34.779525
142,7234f6dc-a316-4576-8453-6e10d7cf1c3d,Kill66MutantsAchievement,0,2026-04-16 10:23:34.784786
143,bcec21aa-2246-4ee8-9f2a-3998a5cde697,Cover10LinesAchievement,1,2026-04-16 10:24:12.774416
145,84c2c4e6-1c27-4f2c-808b-9e84a7cb257e,Kill5MutantsAchievement,0,2026-04-16 10:25:18.550301
146,84c2c4e6-1c27-4f2c-808b-9e84a7cb257e,Kill10MutantsAchievement,0,2026-04-16 10:25:18.555025
147,84c2c4e6-1c27-4f2c-808b-9e84a7cb257e,Kill1MutantAchievement,0,2026-04-16 10:25:18.557186
148,84c2c4e6-1c27-4f2c-808b-9e84a7cb257e,Kill25MutantsAchievement,0,2026-04-16 10:25:18.56102
150,0947a22a-ec40-4f49-867b-330a623a1a35,Kill75MutantsAchievement,1,2026-04-16 10:27:27.874382
151,0947a22a-ec40-4f49-867b-330a623a1a35,CleanDragonAchievement,1,2026-04-16 10:27:27.988965
152,70e85b5e-92d4-498a-9079-ba881f5b3b82,CleanDragonAchievement,1,2026-04-16 10:27:28.031038
153,11555248-3f01-4d1c-9a71-ef7caf9150fa,Add10TestsAchievement,0,2026-04-16 10:30:15.352811
154,11555248-3f01-4d1c-9a71-ef7caf9150fa,Cover10LinesAchievement,0,2026-04-16 10:30:43.772523
